Quote,Author
"My favorite definition of 'Intellectual' is: 'A person whose education surpasses their intelligence.' -Arthur C. Clarke",""
"It is not easy to see how the more extreme forms of nationalism can long survive when men have seen the Earth in its true perspective as a single small globe against the stars.","Arthur C. Clarke"
"If there are any gods whose chief concern is man, they can't be very important gods.","Arthur C. Clarke"
"There is hopeful symbolism in the fact that flags do not wave in a vacuum.","Arthur C. Clarke"
"We seldom stop to think that we are still creatures of the sea, able to leave it only because, from birth to death, we wear the water-filled space suits of our skins.","Arthur C. Clarke"
"The years are too short, the days are too long.","Joseph Heller"
"There is no reason why good cannot triumph as often as evil. The triumph of anything is a matter of organization. If there are such things as angels, I hope that they are organized along the lines of the Mafia.","Kurt Vonnegut"
"The arts put man at the center of the universe, whether he belongs there or not. Military science, on the other hand, treats man as garbage― and his children, and his cities, too. Military science is probably right about the contemptibility of man in the vastness of the universe. Still― I deny that contemptibility, and I beg you to deny it, through the creation of and appreciation of art.","Kurt Vonnegut"
"Kindness is not without its rocks ahead. People are apt to put it down to an easy temper and seldom recognize it as the secret striving of a generous nature; whilst, on the other hand, the ill-natured get credit for all the evil they refrain from.","Honore De Balzac"
"Be ashamed to die until you have won some victory for humanity.","Horace Mann"
"Reading is to the mind what exercise is to the body.","Joseph Addison"
"The most radical revolutionary will become a conservative the day after the revolution.","Hannah Arendt"
"Were we to choose our leaders on the basis of their reading experience and not their political programs, there would be much less grief on earth. I believe ... that for someone who has read a lot of Dickens to shoot his like in the name of an idea is harder than for someone who has read no Dickens.","Joseph Brodsky"
"If my decomposing carcass helps nourish the roots of a juniper tree or the wings of a vulture - that is immortality enough for me.","Edward Abbey"
"Civilizations in decline are consistently characterised by a tendency towards standardization and uniformity.","Arnold Toynbee"
"You will find relief from vain fancies if you do every act in life as though it were your last.","Marcus Aurelius"
"Think like a wise man but communicate in the language of the people.","William Butler Yeats"
"One of the most time-consuming things is to have an enemy.","E.B. White"
"Not ignorance, but ignorance of ignorance, is the death of knowledge.","Alfred North Whitehead"
"Everyone confesses that exertion which brings out all the powers of body and mind is the best thing for us; but most people do all they can to get rid of it, and as a general rule nobody does much more than circumstances drive them to do.","Harriet Beecher Stowe"
"A man who uses a great many words to express his meaning is like a bad marksman who, instead of aiming a single stone at an object, takes up a handful and throws at it in hopes he may hit.","Samuel Johnson"
"If any kid ever realized what was involved in factory farming they would never touch meat again. I was so moved by the intelligence, sense of fun and personalities of the animals I worked with on 'Babe' that by the end of the film I was a vegetarian.","James Cromwell"
"A myth is a fixed way of looking at the world which cannot be destroyed because, looked at through the myth, all evidence supports the myth.","Edward De Bono"
"Religion - freedom - vengeance - what you will, / A word's enough to raise mankind to kill.","Lord Byron"
"In the course of many centuries a few laborsaving devices have been introduced into the mental kitchen – alcohol, coffee, tobacco, Benzedrine, etc – but these are very crude, constantly breaking down, and liable to injure the cook. Literary composition in the twentieth century A.D. is pretty much what it was in the twentieth century B.C.: nearly everything has still to be done by hand.","W.H. Auden"
"The poet who writes 'free' verse is like Robinson Crusoe on his desert island: he must do all his cooking, laundry and darning for himself. In a few exceptional cases, this manly independence produces something original and impressive, but more often the result is squalor – dirty sheets on the unmade bed and empty bottles on the unswept floor.","W.H. Auden"
"What the mass media offers is not popular art, but entertainment which is intended to be consumed like food, forgotten, and replaced by a new dish. This is bad for everyone; the majority lose all genuine taste of their own, and the minority become cultural snobs.","W.H. Auden"
"All poets adore explosions, thunderstorms, tornadoes, conflagrations, ruins, scenes of spectacular carnage. The poetic imagination is not at all a desirable quality in a statesman.","W.H. Auden"
"The image of myself which I try to create in my own mind in order that I may love myself is very different from the image which I try to create in the minds of others in order that they may love me.","W.H. Auden"
"To have a sense of sin means to feel guilty at there being an ethical choice to make, a guilt which, however 'good' I may become, remains unchanged.","W.H. Auden"
"When one looks into the window of a store which sells devotional art objects, one can't help wishing the iconoclasts had won.","W.H. Auden"
"No opera plot can be sensible, for people do not sing when they are feeling sensible.","W.H. Auden"
"The basic stimulus to the intelligence is doubt, a feeling that the meaning of an experience is not self-evident.","W.H. Auden"
"He [Kierkegaard] suffers from one great literary defect, which is often found in lonely geniuses: he never knows when to stop. Lonely people are apt to fall in love with the sound of their own voice, as Narcissus fell in love with his reflection, not out of conceit but out of despair of finding another who will listen and respond.","W.H. Auden"
"All any drug amounts to is tweaking the incoming data. You have to be incredibly self-centered or pathetic to be satisfied with simply tweaking the incoming data.","William Gibson"
"One of my greatest pleasures in writing has come from the thought that perhaps my work might annoy someone of comfortably pretentious position.  Then comes the saddening realization that such people rarely read.","John Kenneth Galbraith"
"It takes a certain maturity of mind to accept that nature works as steadily in rust as in rose petals.","Esther Warner Dendel"
"A word is not a crystal, transparent and unchanged, it is the skin of a living thought and may vary greatly in color and content according to the circumstances and the time in which it is used.","Oliver Wendell Holmes"
"We are for the most part more lonely when we go abroad among men than when we stay in our chambers. A man thinking or working is always alone, let him be where he will.","Henry David Thoreau"
"What progress we are making. In the Middle Ages they would have burned me. Now they are content with burning my books.","Sigmund Freud"
"I became a vegetarian after realizing that animals feel afraid, cold, hungry and unhappy like we do.","Cesar Chavez"
"How dreadful knowledge of the truth can be when there's no help in the truth.","Sophocles"
"If the world were merely seductive, that would be easy. If it were merely challenging, that would be no problem. But I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.","E.B. White"
"News is what people want to keep hidden; everything else is publicity.","Bill Moyers"
"Uttering a word is like striking a note on the keyboard of the imagination.","Ludwig Wittgenstein"
"The average pencil is seven inches long, with just a half-inch eraser – in case you thought optimism was dead.","Robert Brault"
"Whenever morality is based on theology, whenever right is made dependent on divine authority, the most immoral, unjust, infamous things can be justified and established.","Ludwig Feuerbach"
"To believe in something, and not to live it, is dishonest.","Mohandas K. Gandhi"
"Very few established institutions, governments and constitutions ... are ever destroyed by their enemies until they have been corrupted and weakened by their friends.","Walter Lippman"
"The only means of strengthening one's intellect is to make up one's mind about nothing - to let the mind be a thoroughfare for all thoughts.","John Keats"
"The ideal place for me is the one in which it is most natural to live as a foreigner.","Italo Calvino"
"In love, as in gluttony, pleasure is a matter of the utmost precision.","Italo Calvino"
"What Romantic terminology called genius or talent or inspiration is nothing other than finding the right road empirically, following one's nose, taking shortcuts.","Italo Calvino"
"It doesn't seem to me that this fantastically marvelous universe, this tremendous range of time and space and different kinds of animals, and all the different planets, and all these atoms with all their motions, and so on, all this complicated thing can merely be a stage so that God can watch human beings struggle for good and evil - which is the view that religion has. The stage is too big for the drama.","Richard Feynman"
"Poets say science takes away from the beauty of the stars ― mere globs of gas atoms. Nothing is 'mere'. I too can see the stars on a desert night, and feel them. But do I see less or more? The vastness of the heavens stretches my imagination ― stuck on this carousel my little eye can catch one-million-year-old light. A vast pattern ― of which I am a part... What is the pattern or the meaning or the why? It does not do harm to the mystery to know a little more about it. For far more marvelous is the truth than any artists of the past imagined it. Why do the poets of the present not speak of it? What men are poets who can speak of Jupiter if he were a man, but if he is an immense spinning sphere of methane and ammonia must be silent?","Richard Feynman"
"I have a friend who's an artist, and he sometimes takes a view which I don't agree with. He'll hold up a flower and say, 'Look how beautiful it is,' and I'll agree. But then he'll say, 'I, as an artist, can see how beautiful a flower is. But you, as a scientist, take it all apart and it becomes dull.' I think he's kind of nutty. [...] There are all kinds of interesting questions that come from a knowledge of science, which only adds to the excitement and mystery and awe of a flower. It only adds. I don't understand how it subtracts.","Richard Feynman"
"Is no one inspired by our present picture of the universe? This value of science remains unsung by singers, you are reduced to hearing not a song or poem, but an evening lecture about it. This is not yet a scientific age.","Richard Feynman"
"The scientist has a lot of experience with ignorance and doubt and uncertainty, and this experience is of very great importance, I think. When a scientist doesn’t know the answer to a problem, he is ignorant. When he has a hunch as to what the result is, he is uncertain. And when he is pretty damn sure of what the result is going to be, he is still in some doubt. We have found it of paramount importance that in order to progress, we must recognize our ignorance and leave room for doubt. Scientific knowledge is a body of statements of varying degrees of certainty―some most unsure, some nearly sure, but none absolutely certain. Now, we scientists are used to this, and we take it for granted that it is perfectly consistent to be unsure, that it is possible to live and not know. But I don’t know whether everyone realizes this is true. Our freedom to doubt was born out of a struggle against authority in the early days of science. It was a very deep and strong struggle: permit us to question―to doubt―to not be sure. I think that it is important that we do not forget this struggle and thus perhaps lose what we have gained.","Richard Feynman"
"Immature poets imitate; mature poets steal.","T.S. Eliot"
"The bad poet is usually unconscious where he ought to be conscious, and conscious where he ought to be unconscious. Both errors tend to make him 'personal.' Poetry is not a turning loose of emotion, but an escape from emotion; it is not the expression of personality, but an escape from personality. But, of course, only those who have personality and emotions know what it means to want to escape from these things.","T.S. Eliot"
"I sometimes wondered what the use of any of the arts was. The best thing I could come up with was what I call the canary in the coal mine theory of the arts. This theory says that artists are useful to society because they are so sensitive. They are super-sensitive. They keel over like canaries in poison coal mines long before more robust types realize that there is any danger whatsoever.","Kurt Vonnegut"
"I do feel that evolution is being controlled by some sort of divine engineer. I can't help thinking that. And this engineer knows exactly what he or she is doing and why, and where evolution is headed. That’s why we’ve got giraffes and hippopotami and the clap.","Kurt Vonnegut"
"Where is home? I've wondered where home is, and I realized, it's not Mars or someplace like that, it's Indianapolis when I was nine years old. I had a brother and a sister, a cat and a dog, and a mother and a father and uncles and aunts. And there's no way I can get there again.","Kurt Vonnegut"
"We are healthy only to the extent that our ideas are humane.","Kurt Vonnegut"
"There is no order in the world around us, we must adapt ourselves to the requirements of chaos instead. It is hard to adapt to chaos, but it can be done. I am living proof of that: It can be done.","Kurt Vonnegut"
"I have been a soreheaded occupant of a file drawer labeled 'Science Fiction' ... and I would like out, particularly since so many serious critics regularly mistake the drawer for a urinal.","Kurt Vonnegut"
"Which brings us to the arts, whose purpose, in common with astrology, is to use frauds in order to make human beings seem more wonderful than they really are. Dancers show us human beings who move much more gracefully than human beings really move. Films and books and plays show us people talking much more entertainingly than people really talk, make paltry human enterprises seem important. Singers and musicians show us human beings making sounds far more lovely than human beings really make. Architects give us temples in which something marvelous is obviously going on. Actually, practically nothing is going on inside. And on and on.","Kurt Vonnegut"
"History is merely a list of surprises. ... It can only prepare us to be surprised yet again.","Kurt Vonnegut"
"The most important message of a crucifix, to me anyway, was how unspeakably cruel supposedly sane human beings can be when under orders from a superior authority.","Kurt Vonnegut"
"Just because some of us can read and write and do a little math, that doesn't mean we deserve to conquer the Universe.","Kurt Vonnegut"
"The main thing that I learned about conspiracy theory is that conspiracy theorists actually believe in a conspiracy because that is more comforting. The truth of the world is that it is chaotic. The truth is, that it is not the Jewish banking conspiracy or the gray aliens or the 12-foot reptiloids from another dimension that are in control. The truth is more frightening, nobody is in control. The world is rudderless.","Alan Moore"
"There is an inverse relationship between imagination and money.","Alan Moore"
"When smashing monuments, save the pedestals - they always come in handy.","Stanislaw Jerzy Lec"
"You can close your eyes to reality but not to memories.","Stanislaw Jerzy Lec"
"No snowflake in an avalanche ever feels responsible.","Stanislaw Jerzy Lec"
"Thoughts, like fleas, jump from man to man, but they don't bite everybody.","Stanislaw Jerzy Lec"
"The first condition of immortality is death.","Stanislaw Jerzy Lec"
"Restrictions are great, because they make you more imaginative, they make you rethink things, they make you not do the obvious.","Joss Whedon"
"Again, my favorite thing is always gonna be taking a moment of comedy and throwing something horrible in the middle of it, or vice versa...","Joss Whedon"
"I am a part of all that I have met.","Alfred"
"Language is an anonymous, collective and unconscious art; the result of the creativity of thousands of generations.","Edward Sapir"
"Here lives a free man. Nobody serves him.","Albert Camus"
"There are 10^11 stars in the galaxy. That used to be a huge number. But it's only a hundred billion. It's less than the national deficit! We used to call them astronomical numbers. Now we should call them economical numbers.","Richard Feynman"
"Almost all our faults are more pardonable than the methods we resort to to hide them.","Francois de La Rochefoucauld"
"Wealth has never yet sacrificed itself on the altar of patriotism.","Bob LaFollette"
"Perhaps the most overrated virtue in our list of shoddy virtues is that of giving. Giving builds up the ego of the giver, makes him superior and higher and larger than the receiver... Receiving, on the other hand, if it is well-done, requires a fine balance of self-knowledge and kindness. It requires humility and tact and great understanding of relationships. In receiving, you cannot appear, even to yourself, better or stronger or wiser than the giver, although you must be wiser to do it well... It requires self-esteem to receive - not self-love but just a pleasant acquaintance and liking for oneself.","John Steinbeck"
"If you know only one language, you're a prisoner, stuck in the tyranny of that one language.","Andrew Cohen"
"If a problem cannot be solved, enlarge it.","Dwight D. Eisenhower"
"I protect my right to be a Catholic by preserving your right to believe as a Jew, a Protestant, or non-believer, or as anything else you choose. We know that the price of seeking to force our beliefs on others is that they might someday force theirs on us.","Mario Cuomo"
"I don't know if God exists, but it would be better for His reputation if he didn't.","Jules Renard"
"The English language is rather like a monster accordion, stretchable at the whim of the editor, compressible ad lib.","Robert Burchfield"
"The doctrine of the material efficacy of prayer reduces the Creator to a cosmic bellhop of a not very bright or reliable kind.","Herbert J. Muller"
"The peculiar evil of silencing the expression of an opinion is, that it is robbing the human race; posterity as well as the existing generation; those who dissent from the opinion, still more than those who hold it. If the opinion is right, they are deprived of the opportunity of exchanging error for truth: if wrong, they lose, what is almost as great a benefit, the clearer perception and livelier impression of truth, produced by its collision with error.","John Stuart Mill"
"The mark of the immature man is that he wants to die nobly for a cause, while the mark of a mature man is that he wants to live humbly for one.","Wilhelm Stekel"
"Civilization is the encouragement of differences.","Mohandas Karamchand Gandhi"
"The race of men, while sheep in credulity, are wolves in conformity.","Carl Van Doren"
"Being rich is having money; being wealthy is having time.","Stephen Swid"
"...the unravelling of a riddle is the purest and most basic act of the human mind.","Vladimir Nabokov"
"The sum of human wisdom is not contained in any one language, and no single language is capable of expressing all forms and degrees of human comprehension.","Ezra Pound"
"Death tugs at my ear and says, 'Live, I am coming.","Oliver Wendell Holmes"
"A poem begins in delight and ends in wisdom.","Robert Frost"
"What is philosophy but a continual battle against custom?","Thomas Carlyle"
"A coward is a hero with a wife, kids, and a mortgage.","Marvin Kitman"
"The great men in literature have usually tried to bring the written word into harmony with the spoken, instead of encouraging an exclusive language to write in.","John Erskine"
"What can be added to the happiness of a man who is in health, out of debt, and has a clear conscience?","Adam Smith"
"Religions are not revealed: they are evolved. If a religion were revealed by God, that religion would be perfect in whole and in part, and would be as perfect at the first moment of its revelation as after ten thousand years of practice. There has never been a religion that which fulfills those conditions.","Robert Blatchford"
"Who overcomes by force hath overcome but half his foe.","John Milton"
"The speaking in a perpetual hyperbole is comely in nothing but in love.","Francis Bacon"
"In politics, absurdity is not a handicap.","Napoleon Bonaparte"
"Eyes are vocal, tears have tongues, And there are words not made with lungs.","Richard Crashaw"
"Neither genius, fame, nor love show the greatness of the soul. Only kindness can do that.","Jean Baptiste Henri Lacordaire"
"Trust is the first step to love.","Munshi Premchand"
"I (mention) Arthur Schopenhauer's well known fable, a story Freud liked enough to cite in his book on group psychology (and) I paraphrase the fable as follows: 'A troop of porcupines is milling about on a cold winter's day. In order to keep from freezing, the animals move closer together. Just as they are close enough to huddle, however, they start to poke each other with their quills. In order to stop the pain, they spread out, lose the advantage of commingling, and begin to shiver. This sends them back in search of each other, and the cycle repeats as they struggle to find a comfortable distance between entanglement and freezing.' The story spoke to Freud as a lesson about boundaries. ('No one can tolerate a too intimate approach to his neighbor.') It also spoke to his belief that love is everywhere a thorny affair. Freud wrote: 'The evidence ... shows that almost every intimate emotional relation between two people which lasts for some time - marriage, friendship, the relations between parents and children -contains a sediment of feelings of aversion and hostility, which only escapes perception as a result of repression'... All relationships ... require us to contain contradictory feelings for the same person. As the poet Molly Peacock observed: 'There must be room in love for hate.' -Deborah Anna Luepnitz",""
"What difference does it make to the dead, the orphans, and the homeless, whether the mad destruction is wrought under the name of totalitarianism or the holy name of liberty or democracy?","Mohandas K. Gandhi"
"The only real voyage of discovery consists not in seeking new landscapes but in having new eyes.","Marcel Proust"
"Language is the only homeland.","Czeslaw Milosz"
"Here, I differ with Treadwell. He seemed to ignore the fact that in nature there are predators. I believe the common denominator of the universe is not harmony, but chaos, hostility, and murder.","Werner Herzog"
"The modern conservative is engaged in one of man's oldest exercises in moral philosophy; that is, the search for a superior moral justification for selfishness.","John Kenneth Galbraith"
"A time will come when a politician who has wilfully made war and promoted international dissension will be as sure of the dock and much surer of the noose than a private homicide. It is not reasonable that those who gamble with men's lives should not stake their own.","H.G. Wells"
"Patriotism is proud of a country's virtues and eager to correct its deficiencies; it also acknowledges the legitimate patriotism of other countries, with their own specific virtues. The pride of nationalism, however, trumpets its country's virtues and denies its deficiencies, while it is contemptuous toward the virtues of other countries. It wants to be, and proclaims itself to be, 'the greatest', but greatness is not required of a country; only goodness is.","Sydney J. Harris"
"The artist brings something into the world that didn't exist before, and he does it without destroying something else.","John Updike"
"Eight rules for writing fiction: 1. Use the time of a total stranger in such a way that he or she will not feel the time was wasted.  2. Give the reader at least one character he or she can root for.  3. Every character should want something, even if it is only a glass of water.  4. Every sentence must do one of two things - reveal character or advance the action.  5. Start as close to the end as possible.  6. Be a sadist. Now matter how sweet and innocent your leading characters, make awful things happen to them - in order that the reader may see what they are made of.  7. Write to please just one person. If you open a window and make love to the world, so to speak, your story will get pneumonia.  8. Give your readers as much information as possible as soon as possible. To heck with suspense. Readers should have such complete understanding of what is going on, where and why, that they could finish the story themselves, should cockroaches eat the last few pages.","Kurt Vonnegut"
"Even funnier than the man who has been made ridiculous, however, is the man who, having had something funny happens to him, refuses to admit that anything out of the way has happened, and attempts to maintain his dignity.","Charlie Chaplin"
"Each morning puts a man on trial and each evening passes judgment.","Roy L. Smith"
"Myth: we have to save the earth... The planet has survived cataclysmic and catastrophic changes for millions upon millions of years. Over that time, it is widely believed, 99 percent of all species have come and gone while the planet has remained. Saving the environment is really about saving our environment - making it safe for ourselves, our children, and the world as we know it. If more people saw the issue as one of saving themselves, we would probably see increased motivation and commitment to actually do so.","Robert M. Lilienfeld"
"Whatever a man prays for, he prays for a miracle. Every prayer reduces itself to this: Great God, grant that twice two be not four.","Ivan Turgenev"
"I believe I have no prejudices whatsoever. All I need to know is that a man is a member of the human race. That's bad enough for me.","Mark Twain"
"The difference in mind between man and the higher animals, great as it is, certainly is one of degree and not of kind.","Charles Darwin"
"A crisis is a terrible thing to waste.","Paul Romer"
"Happiness is not a goal; it is a by-product.","Eleanor Roosevelt"
"Language is the amber in which a thousand precious and subtle thoughts have been safely embedded and preserved.","Richard C. Trench"
"Only the madman is absolutely sure.","Robert Anton Wilson"
"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.","Oscar Wilde"
"Conscience is a man's compass, and though the needle sometimes deviates, though one often perceives irregularities when directing one's course by it, one must still try to follow its direction.","Vincent van Gogh"
"Men have slow reflexes. In general it takes several generations later for them to understand.","Stanislaw J. Lec"
"What monstrosities would walk the streets were some people's faces as unfinished as their minds.","Eric Hoffer"
"The propagandist's purpose is to make one set of people forget that certain other sets of people are human.","Aldous Huxley"
"Action is consolatory.","Joseph Conrad"
"All animals, except man, know that the principal business of life is to enjoy it.","Samuel Butler"
"Artists are the antennae of the race.","Ezra Pound"
"The art of leadership is saying no, not yes. It is very easy to say yes.","Tony Blair"
"Chastity―the most unnatural of all the sexual perversions.","Aldous Huxley"
"Ask yourself whether you are happy, and you cease to be so.","John Stuart Mill"
"Show me a hero and I will write you a tragedy.","F. Scott Fitzgerald"
"It is no measure of health to be well adjusted to a profoundly sick society.","J. Krishnamurti"
"Death must be distinguished from dying, with which it is often confused.","Sydney Smith"
"If God made us in His image, we have certainly returned the compliment.","Voltaire"
"Parodies and caricatures are the most penetrating of criticisms.","Aldous Huxley"
"A critic is a man who knows the way but can’t drive the car.","Kenneth Tynan"
"An injury is much sooner forgotten than an insult.","Lord Chesterfield"
"Violent antipathies are always suspicious, and betray a secret affinity.","William Hazlitt"
"We must not confuse dissent with disloyalty.","Edward R. Murrow"
"The trouble with the world is that the stupid are cocksure and the intelligent are full of doubt.","Bertrand Russell"
"Do your duty, and leave the outcome to the gods.","Corneille"
"One who has a reputation for rising early can sleep until noon.","Alphonse Daudet"
"Few men are so disinterested as to prefer to live in discomfort under a government which they hold to be right, rather than in comfort under one which they hold to be wrong.","C. V. Wedgwood"
"I hate war as only a soldier who has lived it can, only as one who has seen its brutality, its futility, its stupidity.","Dwight D. Eisenhower"
"Those only are happy... who have their minds fixed on some object other than their own happiness. Aiming thus at something else, they find happiness along the way.","John Stuart Mill"
"A common man marvels at uncommon things; a wise man marvels at the commonplace.","Confucius"
"The supreme reality of our time is... the vulnerability of our planet.","John F. Kennedy"
"The weak have one weapon: the errors of those who think they are strong.","Georges Bidault"
"All human evil comes from this: a man’s being unable to sit still in a room.","Blaise Pascal"
"What is hope? Nothing but the paint on the face of Existence.","Lord Byron"
"There is no loneliness greater than the loneliness of failure.","Eric Hoffer"
"Only the hypocrite is really rotten to the core.","Hannah Arendt"
"If we let things terrify us, life will not be worth living.","Lucius Annaeus Seneca"
"If you want me to weep, you must first feel grief yourself.","Horace"
"Liberty is, to the lowest rank of every nation, little more than the choice of working or starving.","Samuel Johnson"
"We can scarcely hate any one that we know.","William Hazlitt"
"I never think of the future. It comes soon enough.","Albert Einstein"
"We are all of us more or less echoes, repeating involuntarily the virtues, the defects, the movements, and the characters of those among whom we live.","Joseph Joubert"
"Custom reconciles us to everything.","Edmund Burke"
"People must learn to hate.","Nelson Mandela"
"Hell is other people.","Jean-Paul Sartre"
"Hell is oneself.","T.S. Eliot"
"A man should live with his superiors as he does with his fire: not too near, lest he burn; nor too far off, lest he freeze.","Diogenes"
"You can approach the act of writing with nervousness, excitement, hopefulness, or even despair - the sense that you can never completely put on the page what's in your mind and heart. You can come to the act with your fists clenched and your eyes narrowed, ready to kick ass and take down names. You can come to it because you want a girl to marry you or because you want to change the world. Come to it any way but lightly. Let me say it again: you must not come lightly to the blank page.","Stephen King"
"Any writer, I suppose, feels that the world into which he was born is nothing less than a conspiracy against the cultivation of his talent.","James Baldwin"
"Inspiration is wonderful when it happens, but the writer must develop an approach for the rest of the time... The wait is simply too long.","Leonard Bernstein"
"The important thing is that there should be a space of time, say four hours a day at least, when a professional writer doesn't do anything else but write. He doesn't have to write, and if he doesn't feel like it he shouldn't try. He can look out of the window or stand on his head or writhe on the floor, but he is not to do any other positive thing, not read, not write letters, glance at magazines, or write checks. Either write or nothing.","Raymond Chandler"
"Poetry, indeed, cannot be translated; and, therefore, it is the poets that preserve the languages; for we would not be at the trouble to learn a language if we could have all that is written in it just as well in a translation. But as the beauties of poetry cannot be preserved in any language except that in which it was originally written, we learn the language.","Samuel Johnson"
"He who knows only his own side of the case knows little of that.","John Stuart Mill"
"Hope is a good breakfast, but it is a bad supper.","Francis Bacon"
"The optimist proclaims that we live in the best of all possible worlds; the pessimist fears this is true.","James Branch Cabell"
"Where there is no imagination, there is no horror.","Sir Arthur Conan Doyle"
"Half of the harm that is done in this world is due to people who want to feel important.","T.S. Eliot"
"Life being all inclusion and confusion, and art being all discrimination and selection.","Henry James"
"Take sides. Neutrality helps the oppressor, never the victim. Silence encourages the tormentor, never the tormented.","Elie Wiesel"
"Beware the fury of a patient man.","John Dryden"
"Rudeness is better than any argument; it totally eclipses intellect.","Arthur Schopenhauer"
"As a human being, one has been endowed with just enough intelligence to be able to see clearly how utterly inadequate that intelligence is when confronted with what exists.","Albert Einstein"
"Never...murder a man who is committing suicide.","Woodrow Wilson"
"An intellectual is someone whose mind watches itself.","Albert Camus"
"If all else fails, immortality can always be assured by a spectacular error.","John Kenneth Galbraith"
"To be clever enough to get all the money, one must be stupid enough to want it.","G.K. Chesterton"
"Human life is but a series of footnotes to a vast obscure unfinished masterpiece.","Vladimir Nabokov"
"Fear of death and fear of life both become piety.","H.L. Mencken"
"My atheism...is true piety towards the universe and denies only gods fashioned by men in their own image, to be servants of their human interests.","George Santayana"
"There is not a more mean, stupid, dastardly, pitiful, selfish, spiteful, envious, ungrateful animal than the public. It is the greatest of cowards, for it is afraid of itself.","William Hazlitt"
"What has posterity ever done for me?","Groucho Marx"
"For a successful technology, reality must take precedence over public relations, for Nature cannot be fooled.","Richard Feynman"
"The secret of happiness is to face the fact that the world is horrible, horrible, horrible.","Bertrand Russell"
"Art is a lie that makes us realize truth.","Pablo Picasso"
"An apology for the Devil: It must be remembered that we have only heard one side of the case. God has written all the books.","Samuel Butler"
"Sanity is madness put to good uses.","George Santayana"
"The true University of these days is a collection of books.","Thomas Carlyle"
"God created man and, finding him not sufficiently alone, gave him a companion to make him feel his solitude more keenly.","Paul Valery"
"A mind all logic is like a knife all blade. It makes the hand bleed that uses it.","Rabindranath Tagore"
"Silence is the virtue of fools.","Francis Bacon"
"Do you wish people to believe good of you? Don’t speak.","Blaise Pascal"
"Nothing exists except atoms and empty space; everything else is opinion.","Democritus"
"Faith in a holy cause is to a considerable extent a substitute for the lost faith in ourselves.","Eric Hoffer"
"The work of science is to substitute facts for appearances, and demonstration for impressions.","John Ruskin"
"Even while they teach, men learn.","Lucius Annaeus Seneca"
"To persevere, trusting in what hopes he has, is courage in a man.","Euripides"
"Great works are performed not by strength, but by perseverance.","Samuel Johnson"
"Constant labor of one uniform kind destroys the intensity and flow of a man’s animal spirits, which find recreation and delight in mere change of activity.","Karl Marx"
"Even if the open windows of science at first make us shiver... in the end, the fresh air brings vigor, and the great spaces have a splendor of their own.","Bertrand Russell"
"The secret of being a bore... is to tell everything.","Voltaire"
"Nothing is so impenetrable as laughter in a language you don’t understand.","William Golding"
"Wit is the epitaph of an emotion.","Friedrich Nietzsche"
"A man is a small thing, and the night is very large and full of wonders.","Lord Dunsany"
"A good novel tells us the truth about its hero; but a bad novel tells us the truth about its author.","G.K. Chesterton"
"It is only an illusion that youth is happy, an illusion of those who have lost it.","William Somerset Maugham"
"The trouble with words is that you never know whose mouths they've been in.","Dennis Potter"
"The soundest argument will produce no more conviction in an empty head than the most superficial declamation; as a feather and a guinea fall with equal velocity in a vacuum.","Charles Caleb Colton"
"Is God willing to prevent evil, but not able? Then he is not omnipotent. Is he able, but not willing? Then he is malevolent. Is he both able and willing? Then whence cometh evil? Is he neither able nor willing? Then why call him God?","Epicurus"
"Language is the apparel in which your thoughts parade in public. Never clothe them in vulgar and shoddy attire.","George W. Crane"
"A man's name is not like a mantle which merely hangs about him, and which one perchance may safely twitch and pull, but a perfectly fitting garment, which, like the skin, has grown over and over him, at which one cannot rake and scrape without injuring the man himself.","Johann Wolfgang von Goethe"
"The difference between fiction and reality is that fiction has to make sense.","Tom Clancy"
"[If I had stayed in my birthplace town] I would not perhaps be the same person I am now but maybe I would have been something better: just a character in one of the novels I would never have written.","Gabriel Garcia Marqez"
"Whoe'er excels in what we prize / Appears a hero in our eyes.","Jonathan Swift"
"Perfect valor is to behave, without witnesses, as one would act were all the world watching.","Francois"
"If your morals make you dreary, depend on it they are wrong.","Robert Louis Stevenson"
"It is not life and wealth and power that enslave men, but the cleaving to life and wealth and power.","Buddha"
"For a desert island, one would choose a good dictionary rather than the greatest literary masterpiece imaginable, for, in relation to its readers, a dictionary is absolutely passive and may legitimately be read in an infinite number of ways.","W.H. Auden"
"Society is composed of two great classes: those who have more dinners than appetite, and those who have more appetite than dinners.","Sebastien-Roch-Nicolas de Chamfort"
"We all have handicaps. The difference is that some of us must reveal ours, while others must conceal theirs, to be treated with mercy.","Yahia Lababidi"
"Home is the place where, when you have to go there, they have to take you in.","Robert Frost"
"The future is already here, it’s just unevenly distributed.","William Gibson"
"If you wish to be loved, show more of your faults than your virtues.","Edward Bulwer-Lytton"
"No protracted war can fail to endanger the freedom of a democratic country.","Alexis de Tocqueville"
"Man's capacity for justice makes democracy possible, but man's inclination to injustice makes democracy necessary.","Reinhold Niebuhr"
